Business,Required Licenses,Business_Type,License_Type,Issuing_Authority,Validity_Period
,,Bookstore Month,Zoning Permit,East Joseph Licensing Department,3 years
,,Clothing Store Let,Health Permit,Davisside Licensing Department,4 years
,,Bookstore Stuff,Business License,Lake Daniel Licensing Department,2 years
,,Salon Police,Health Permit,Whitemouth Licensing Department,3 years
,,Bakery Water,Business License,North Markburgh Licensing Department,4 years
,,Gym Response,Zoning Permit,North Stephanieborough Licensing Department,5 years
,,Florist Be,Fire Department Permit,Stephenbury Licensing Department,1 years
,,Gym Actually,Fire Department Permit,Matthewport Licensing Department,4 years
,,Salon Responsibility,Zoning Permit,Kimberlystad Licensing Department,1 years
,,Florist Soldier,Zoning Permit,South Lindaside Licensing Department,3 years
,,Bookstore Player,Health Permit,South Tiffany Licensing Department,5 years
,,Clothing Store Edge,Zoning Permit,Port Teresaville Licensing Department,4 years
,,Gym Guess,Zoning Permit,Charlesborough Licensing Department,2 years
,,Cafe Cup,Business License,Port Melindamouth Licensing Department,3 years
,,Restaurant Standard,Zoning Permit,Hilltown Licensing Department,2 years
,,Bookstore Order,Business License,Brightton Licensing Department,3 years
,,Restaurant Wide,Zoning Permit,Lake Timothyberg Licensing Department,3 years
,,Salon Dark,Zoning Permit,Annahaven Licensing Department,1 years
,,Salon Worry,Fire Department Permit,East Jennifer Licensing Department,5 years
,,Gym Assume,Fire Department Permit,Leemouth Licensing Department,2 years
,,Florist Above,Business License,Lake Robin Licensing Department,3 years
,,Bakery Perhaps,Business License,Port Jonathanview Licensing Department,5 years
,,Salon Your,Health Permit,East Amandaton Licensing Department,2 years
,,Gym Environment,Health Permit,Port Kevinborough Licensing Department,1 years
,,Salon Real,Health Permit,North Andrebury Licensing Department,3 years
,,Gym Direction,Health Permit,West Allen Licensing Department,2 years
,,Restaurant Pass,Business License,Jordanborough Licensing Department,1 years
,,Bookstore Space,Business License,Kevinstad Licensing Department,1 years
,,Clothing Store Official,Health Permit,Robertsonland Licensing Department,2 years
,,Restaurant Education,Zoning Permit,Fernandezmouth Licensing Department,3 years
,,Bookstore Few,Fire Department Permit,West Tamara Licensing Department,3 years
,,Cafe Manager,Business License,Michaelchester Licensing Department,1 years
,,Bookstore Increase,Business License,North Jessica Licensing Department,1 years
,,Salon Road,Zoning Permit,North William Licensing Department,3 years
,,Gym Practice,Fire Department Permit,Tammytown Licensing Department,3 years
,,Restaurant Suddenly,Fire Department Permit,Port Codybury Licensing Department,1 years
,,Bookstore It,Business License,Brownview Licensing Department,3 years
,,Bookstore Social,Fire Department Permit,Susanborough Licensing Department,4 years
,,Bookstore Very,Business License,Lake Russellmouth Licensing Department,5 years
,,Bookstore Occur,Health Permit,Wallaceside Licensing Department,3 years
,,Bookstore Gas,Fire Department Permit,Danielleshire Licensing Department,2 years
,,Cafe Item,Business License,Crystalfort Licensing Department,5 years
,,Gym Senior,Zoning Permit,West Sara Licensing Department,2 years
,,Salon Author,Business License,East Chris Licensing Department,5 years
,,Bookstore Television,Zoning Permit,Bakerburgh Licensing Department,2 years
,,Clothing Store Prevent,Health Permit,West Andrewborough Licensing Department,3 years
,,Gym Writer,Zoning Permit,Danielmouth Licensing Department,4 years
,,Bakery Where,Fire Department Permit,Schwartzberg Licensing Department,4 years
,,Florist Claim,Zoning Permit,Timothyhaven Licensing Department,2 years
,,Salon Heart,Health Permit,West Russell Licensing Department,4 years
,,Cafe Would,Business License,Lake Dennisland Licensing Department,3 years
,,Bakery Difficult,Zoning Permit,Port Aaron Licensing Department,4 years
,,Cafe Around,Zoning Permit,Morrisside Licensing Department,3 years
,,Bookstore Court,Zoning Permit,Matthewton Licensing Department,3 years
,,Restaurant Cause,Fire Department Permit,North Matthew Licensing Department,4 years
,,Clothing Store Alone,Fire Department Permit,West Elizabeth Licensing Department,1 years
,,Bookstore Month,Business License,Jordanburgh Licensing Department,3 years
,,Restaurant Process,Fire Department Permit,East Matthew Licensing Department,3 years
,,Bookstore She,Fire Department Permit,Hernandezburgh Licensing Department,4 years
,,Florist Economic,Zoning Permit,Starkberg Licensing Department,4 years
,,Salon Successful,Health Permit,North Jaredshire Licensing Department,4 years
,,Gym Culture,Zoning Permit,Port Michael Licensing Department,2 years
,,Clothing Store Service,Zoning Permit,Toddberg Licensing Department,4 years
,,Salon Something,Business License,Robertsmouth Licensing Department,1 years
,,,Zoning Permit,South Sara Licensing Department,4 years
,,Gym Community,Zoning Permit,Cantrellfurt Licensing Department,5 years
,,Cafe Receive,Fire Department Permit,Port Mitchellmouth Licensing Department,5 years
,,Salon Pull,Zoning Permit,Port Jenniferborough Licensing Department,4 years
,,Bakery Benefit,Zoning Permit,Port James Licensing Department,2 years
,,Salon Newspaper,Health Permit,Lake Stevenburgh Licensing Department,4 years
,,,Business License,Brendatown Licensing Department,3 years
,,Cafe Show,Fire Department Permit,Wilsonbury Licensing Department,3 years
,,Bookstore Choice,Fire Department Permit,Alexisview Licensing Department,2 years
,,Clothing Store Development,Business License,Santosstad Licensing Department,2 years
,,Bookstore Present,Business License,Jefferystad Licensing Department,4 years
,,Cafe Painting,Health Permit,South Jessicashire Licensing Department,1 years
,,Salon Simple,Fire Department Permit,Stephanieburgh Licensing Department,5 years
,,Bookstore Very,Fire Department Permit,Jessicaburgh Licensing Department,4 years
,,Bookstore Tell,Health Permit,Lake Samanthastad Licensing Department,1 years
,,Bakery Contain,Business License,South Jaymouth Licensing Department,3 years
,,Bookstore Phone,Business License,Rossborough Licensing Department,4 years
,,Bookstore On,Health Permit,New Joshuafort Licensing Department,5 years
,,Gym Capital,Health Permit,Curtisside Licensing Department,4 years
,,Florist Student,Health Permit,South Kimberly Licensing Department,1 years
,,Bookstore On,Zoning Permit,South Michael Licensing Department,1 years
,,Gym Above,Zoning Permit,East Richardchester Licensing Department,5 years
,,Bookstore Determine,Health Permit,Velezberg Licensing Department,4 years
,,Salon New,Zoning Permit,Sherriberg Licensing Department,2 years
,,Salon Collection,Zoning Permit,Adamchester Licensing Department,2 years
,,Bookstore Draw,Fire Department Permit,North Alice Licensing Department,4 years
,,Cafe First,Fire Department Permit,Port Haleyland Licensing Department,3 years
,,Cafe Sound,Business License,Edwardsstad Licensing Department,2 years
,,Bookstore Month,Fire Department Permit,East Brandi Licensing Department,5 years
,,Gym Actually,Fire Department Permit,Owensfort Licensing Department,3 years
,,Bakery Perhaps,Zoning Permit,New Erica Licensing Department,3 years
,,Florist Capital,Health Permit,New Stephenhaven Licensing Department,3 years
,,Cafe Money,Business License,North Christineland Licensing Department,5 years
,,Gym Thing,Fire Department Permit,South Zoeborough Licensing Department,3 years
,,Clothing Store Son,Health Permit,West Joshua Licensing Department,3 years
,,Clothing Store Number,Zoning Permit,South Jose Licensing Department,5 years
,,Bookstore She,Business License,Feliciatown Licensing Department,4 years
,,Cafe Organization,Fire Department Permit,Ramireztown Licensing Department,1 years
,,Florist Others,Business License,New Gregory Licensing Department,5 years
,,Cafe Program,Zoning Permit,Derekside Licensing Department,3 years
,,Salon Sign,Fire Department Permit,Dominguezville Licensing Department,3 years
,,Salon Section,Fire Department Permit,East Jessicahaven Licensing Department,5 years
,,Salon Author,Health Permit,Leonardfort Licensing Department,1 years
,,Bookstore Blood,Health Permit,East Christinaview Licensing Department,1 years
,,Restaurant Wear,Health Permit,Smithberg Licensing Department,4 years
,,Salon Score,Zoning Permit,West Christopher Licensing Department,1 years
,,Gym Assume,Business License,Martinezstad Licensing Department,1 years
,,Clothing Store While,Business License,Delgadoburgh Licensing Department,4 years
,,Bakery Main,Zoning Permit,Lake Ronald Licensing Department,2 years
,,Restaurant Wide,Fire Department Permit,Katieshire Licensing Department,5 years
,,Clothing Store Guy,Fire Department Permit,Ashleyberg Licensing Department,4 years
,,Bakery Door,Business License,South Melissa Licensing Department,5 years
,,Bakery Exist,Health Permit,South Markborough Licensing Department,5 years
,,Clothing Store True,Zoning Permit,Justinmouth Licensing Department,2 years
,,Restaurant Someone,Fire Department Permit,Evanschester Licensing Department,4 years
,,Florist End,Zoning Permit,Stoneborough Licensing Department,1 years
,,Bakery Personal,Health Permit,South Brandon Licensing Department,2 years
,,Salon American,Business License,East Jamesberg Licensing Department,5 years
,,,Zoning Permit,West Stefanieside Licensing Department,4 years
,,Salon Write,Fire Department Permit,Sharonberg Licensing Department,4 years
,,Cafe Car,Health Permit,Turnertown Licensing Department,4 years
,,Bakery Ready,Fire Department Permit,Perezville Licensing Department,4 years
,,Clothing Store Military,Health Permit,Simpsontown Licensing Department,2 years
,,Bakery Campaign,Health Permit,East Kathrynbury Licensing Department,1 years
,,Florist Tax,Health Permit,New Melissa Licensing Department,1 years
,,Cafe Practice,Fire Department Permit,South Andrewchester Licensing Department,4 years
,,Florist Sport,Zoning Permit,Gillespietown Licensing Department,2 years
,,Bookstore Mrs,Health Permit,Lake Lisa Licensing Department,2 years
,,Bookstore Space,Health Permit,Lukeshire Licensing Department,3 years
,,Cafe Her,Fire Department Permit,New Jamesstad Licensing Department,3 years
,,Restaurant Risk,Zoning Permit,Paulborough Licensing Department,1 years
,,Bookstore Yet,Health Permit,Robertside Licensing Department,3 years
,,Bakery Difficult,Health Permit,South Heatherhaven Licensing Department,1 years
,,Salon Financial,Fire Department Permit,Kerrville Licensing Department,5 years
,,Florist Others,Zoning Permit,East Gordonstad Licensing Department,5 years
,,Florist Financial,Business License,West Jeremy Licensing Department,4 years
,,Clothing Store Board,Zoning Permit,East Sergiochester Licensing Department,3 years
,,Gym Court,Health Permit,Lisabury Licensing Department,5 years
,,Restaurant Image,Health Permit,Blairshire Licensing Department,5 years
,,,Zoning Permit,Christopherside Licensing Department,2 years
,,Gym Realize,Zoning Permit,North Diana Licensing Department,1 years
,,Bakery Its,Zoning Permit,New Christopherstad Licensing Department,2 years
,,Cafe Since,Health Permit,Catherineview Licensing Department,4 years
,,Bookstore She,Business License,East Christopherview Licensing Department,5 years
,,Restaurant Member,Fire Department Permit,Richardmouth Licensing Department,2 years
,,Gym Whom,Business License,South Dustin Licensing Department,3 years
,,Florist Out,Business License,Angelaview Licensing Department,4 years
,,Restaurant Through,Health Permit,Lake Dominicshire Licensing Department,3 years
,,Florist Others,Business License,Port Richard Licensing Department,2 years
,,Salon Something,Health Permit,Deborahfurt Licensing Department,4 years
,,Salon Write,Business License,New Ryanburgh Licensing Department,2 years
,,Bookstore Occur,Fire Department Permit,Loveview Licensing Department,5 years
,,Cafe Her,Zoning Permit,Stewartland Licensing Department,2 years
,,Salon Score,Business License,Barnettfort Licensing Department,5 years
,,Restaurant Include,Business License,Thomasville Licensing Department,3 years
,,Restaurant Reveal,Business License,Crawfordmouth Licensing Department,3 years
,,Gym Realize,Fire Department Permit,Michellebury Licensing Department,5 years
,,Salon Mean,Health Permit,Kevinchester Licensing Department,2 years
,,Gym Medical,Zoning Permit,New Stephenstad Licensing Department,3 years
,,Clothing Store Thing,Fire Department Permit,Thomasbury Licensing Department,3 years
,,Clothing Store Control,Health Permit,South Victor Licensing Department,1 years
,,Restaurant Own,Business License,New Michaelstad Licensing Department,1 years
,,Gym Leave,Fire Department Permit,Marystad Licensing Department,3 years
,,Cafe Cup,Health Permit,New Pamelamouth Licensing Department,3 years
,,Gym Hear,Zoning Permit,West Kevinmouth Licensing Department,4 years
,,Florist Middle,Health Permit,Port Donaldmouth Licensing Department,4 years
,,Restaurant Reveal,Business License,North Brian Licensing Department,2 years
,,Clothing Store Reduce,Zoning Permit,North Alexanderhaven Licensing Department,5 years
,,Bookstore Quality,Fire Department Permit,Lake Stacyfurt Licensing Department,2 years
,,Gym Game,Zoning Permit,South Ryanborough Licensing Department,3 years
,,Cafe Foreign,Business License,Johnville Licensing Department,5 years
,,Clothing Store Husband,Health Permit,Lake Mollychester Licensing Department,3 years
,,Florist End,Zoning Permit,Contreraschester Licensing Department,4 years
,,Salon World,Business License,New Monica Licensing Department,3 years
,,Gym Which,Zoning Permit,Ravenberg Licensing Department,2 years
,,Clothing Store Back,Health Permit,Castillomouth Licensing Department,5 years
,,Bookstore Democrat,Business License,Mitchellmouth Licensing Department,4 years
,,Restaurant Image,Zoning Permit,Moorestad Licensing Department,2 years
,,Gym Community,Business License,Lake Catherinemouth Licensing Department,3 years
,,Salon Newspaper,Health Permit,Chaseville Licensing Department,3 years
,,Salon Public,Zoning Permit,South Rachelbury Licensing Department,1 years
,,Cafe Machine,Health Permit,North Peggy Licensing Department,4 years
,,Bookstore Hand,Fire Department Permit,Jessicachester Licensing Department,5 years
,,Gym Game,Health Permit,Maryberg Licensing Department,5 years
,,Cafe Organization,Business License,South Anthony Licensing Department,5 years
,,Florist Financial,Fire Department Permit,Brownside Licensing Department,3 years
,,Florist Claim,Health Permit,Fernandobury Licensing Department,2 years
,,Gym Guess,Business License,Davisburgh Licensing Department,1 years
,,Bookstore Human,Fire Department Permit,New Heatherfurt Licensing Department,1 years
,,Cafe Country,Business License,South Mark Licensing Department,5 years
,,,Fire Department Permit,Navarroland Licensing Department,1 years
,,Florist Trade,Health Permit,West Stephanie Licensing Department,2 years
,,Cafe Interesting,Business License,Robinsontown Licensing Department,2 years
,,Clothing Store Thing,Business License,Jasonmouth Licensing Department,3 years
,,Gym Plan,Zoning Permit,West Douglasmouth Licensing Department,5 years
,,Salon Dark,Business License,Lake George Licensing Department,2 years
,,Cafe Behind,Health Permit,Erikabury Licensing Department,5 years
,,Bakery Door,Zoning Permit,New Christina Licensing Department,4 years
,,Salon Decade,Zoning Permit,South Sherriside Licensing Department,5 years
,,Bookstore Democrat,Zoning Permit,Vangfort Licensing Department,4 years
,,Clothing Store Edge,Fire Department Permit,New Lesliebury Licensing Department,5 years
,,Bakery Ready,Zoning Permit,Jenningsview Licensing Department,1 years
,,Bakery Both,Zoning Permit,Port Kimberly Licensing Department,2 years
,,Clothing Store Home,Health Permit,Lake Ashleybury Licensing Department,5 years
,,Bookstore Degree,Health Permit,North Ricky Licensing Department,2 years
,,Bakery Why,Zoning Permit,South Nancyberg Licensing Department,3 years
,,Bakery Contain,Fire Department Permit,Port Mariabury Licensing Department,4 years
,,Bookstore Soon,Fire Department Permit,North Debramouth Licensing Department,3 years
,,Cafe Would,Health Permit,West Laurenton Licensing Department,3 years
,,Clothing Store While,Fire Department Permit,Smithborough Licensing Department,3 years
,,Salon Section,Health Permit,Chanport Licensing Department,2 years
,,Gym Season,Health Permit,Shawborough Licensing Department,4 years
,,Gym Game,Zoning Permit,Nicoleport Licensing Department,2 years
,,Cafe Cultural,Health Permit,Patriciatown Licensing Department,5 years
,,,Business License,Lake Michelleside Licensing Department,3 years
,,Gym Look,Health Permit,Lake Williamstad Licensing Department,3 years
,,Cafe Short,Fire Department Permit,Lake Emilyfurt Licensing Department,5 years
,,Bookstore Capital,Business License,Port Joseph Licensing Department,2 years
,,Cafe Front,Business License,Lake Danielbury Licensing Department,2 years
,,Bakery Where,Zoning Permit,New Laura Licensing Department,5 years
,,Restaurant Standard,Business License,New Stevenview Licensing Department,3 years
,,Clothing Store Number,Health Permit,South Brenda Licensing Department,5 years
,,Clothing Store Development,Zoning Permit,Reillyhaven Licensing Department,5 years
,,Bakery Maintain,Zoning Permit,North Ianshire Licensing Department,1 years
,,Bakery Contain,Business License,Amyport Licensing Department,5 years
,,Cafe Her,Health Permit,South James Licensing Department,4 years
,,Gym Woman,Business License,North Tom Licensing Department,4 years
,,Salon Pull,Health Permit,New Kelly Licensing Department,3 years
,,Bakery Door,Business License,Longberg Licensing Department,2 years
,,Bakery Why,Fire Department Permit,Port Wayneshire Licensing Department,5 years
,,Salon Score,Business License,Jocelynburgh Licensing Department,5 years
,,Salon Identify,Business License,Snowborough Licensing Department,1 years
,,Restaurant Image,Business License,West Rebecca Licensing Department,1 years
,,Gym Marriage,Zoning Permit,Johnstonfort Licensing Department,3 years
,,,Fire Department Permit,Leehaven Licensing Department,4 years
,,Gym Market,Business License,Bradleyview Licensing Department,4 years
,,Gym Sing,Health Permit,Lake Marissa Licensing Department,4 years
,,Bakery Personal,Health Permit,New Dawnmouth Licensing Department,5 years
,,Salon Situation,Zoning Permit,Tyronebury Licensing Department,4 years
,,Bakery Maintain,Business License,Robertton Licensing Department,3 years
,,Restaurant Reveal,Health Permit,Lanehaven Licensing Department,2 years
,,Cafe According,Business License,Carolmouth Licensing Department,3 years
,,Salon Section,Zoning Permit,Lake Crystalland Licensing Department,3 years
,,Florist Several,Zoning Permit,Lake Kathleenmouth Licensing Department,2 years
,,Bookstore Few,Health Permit,Lake Heatherton Licensing Department,5 years
