Business,City,Competitor Names,Business_Name,Business_Type
,Ahmedabad,,"Tran, Wilson and Schmidt",Cafe Machine
,Bangalore,,Hicks-Davis,Bookstore Manage
,Delhi,,Williams-Ware,Gym Education
,Ahmedabad,,Ramos-Davis,Florist Garden
,Pune,,Lin-Jackson,Clothing Store Member
,Kolkata,,"Hahn, Byrd and Grant",Bookstore Feeling
,Chennai,,"Robinson, Wright and Adams",Gym Look
,Ahmedabad,,"Reilly, Martinez and Rich",Salon Between
,Hyderabad,,Walker-Clark,Restaurant Produce
,Bangalore,,"Mclean, Swanson and Griffin",Clothing Store Develop
,Mumbai,,Smith PLC,Restaurant Exactly
,Ahmedabad,,Marshall Ltd,Cafe Organization
,Pune,,Williams-Garcia,Restaurant Magazine
,Bangalore,,"Levine, Barton and Cruz",Cafe Within
,Pune,,"Weaver, Stewart and Ward",Bookstore Few
,Kolkata,,Collins-Adams,Cafe Challenge
,Delhi,,"Thomas, Lopez and Harris",Clothing Store Story
,Hyderabad,,Hodge-Moore,Bookstore Medical
,Delhi,,"Cook, Graham and Gutierrez",Salon Chance
,Pune,,"Graham, Rogers and Jackson",Bookstore Thus
,Ahmedabad,,Stewart-King,Salon Financial
,Hyderabad,,Strickland Group,Clothing Store Number
,Mumbai,,"Lane, Rivera and James",Clothing Store Stage
,Chennai,,Turner LLC,Clothing Store Not
,Chennai,,Morrison PLC,Restaurant However
,Delhi,,"Stewart, Stanley and Richmond",Clothing Store Edge
,Delhi,,Sanchez Group,Restaurant Friend
,Ahmedabad,,"Sellers, Johnson and Johnson",Salon Financial
,Pune,,Velasquez LLC,Florist Financial
,Chennai,,"Kaiser, Barnes and Wilson",Clothing Store Perhaps
,Ahmedabad,,Morrow-Johnson,Florist Middle
,Chennai,,"Livingston, Cooper and Brock",Clothing Store Number
,Pune,,"White, Mullins and Nolan",Restaurant Through
,Ahmedabad,,"Harrison, Kelly and Thompson",Cafe Challenge
,Mumbai,,"Miller, Ortiz and Berger",Bookstore Hand
,Ahmedabad,,Reid and Sons,Restaurant Pass
,Delhi,,Schwartz-Daugherty,Florist Letter
,Bangalore,,Stafford-English,Cafe Machine
,Delhi,,Singh LLC,Salon Author
,Hyderabad,,Mcpherson-House,Bookstore Girl
,Pune,,Waters Ltd,
,Bangalore,,Brennan-Johnson,Bakery Serve
,Hyderabad,,Curtis Group,Salon With
,Chennai,,Zuniga-Blair,Gym Value
,Kolkata,,Bradley-Fuller,Gym Treat
,Chennai,,"Villanueva, Boyd and Salinas",Bookstore Skin
,Pune,,Brown and Sons,Bakery Chair
,Hyderabad,,Johnson-Saunders,Gym Maybe
,Mumbai,,Wilson LLC,Restaurant Pass
,Delhi,,Abbott LLC,Clothing Store Trial
,Ahmedabad,,"Mullins, Burton and Murphy",Salon Chance
,Delhi,,Smith Group,Bakery It
,Mumbai,,"Brooks, Wilson and Soto",Cafe Stock
,Hyderabad,,Vaughn-Thomas,Clothing Store Clear
,Bangalore,,Sparks Inc,Florist Beautiful
,Mumbai,,Patterson-Gonzalez,Gym Season
,Mumbai,,"Cox, Hamilton and Logan",Salon Through
,Bangalore,,"Alexander, Smith and Gonzalez",Salon Move
,Hyderabad,,"Mcneil, Stephens and Graves",Cafe Night
,Hyderabad,,Rangel-Reed,Salon Stay
,Delhi,,Powell-Rogers,Gym Direction
,Chennai,,"Brown, King and Smith",Florist Others
,Bangalore,,Flores LLC,Cafe Short
,Delhi,,Garcia Inc,Bakery White
,Ahmedabad,,Lewis-Davila,Bakery Example
,Chennai,,Hunt PLC,Salon Between
,Pune,,Thomas PLC,Bookstore Television
,Kolkata,,"Farmer, Hernandez and Bonilla",Bakery Real
,Ahmedabad,,Short-Snyder,Salon Old
,Kolkata,,Wilson LLC,Gym Less
,Ahmedabad,,Brady-Martinez,Gym Culture
,Bangalore,,"Hanson, Ward and Delgado",Florist Focus
,Pune,,"Mitchell, Haas and Flynn",Bakery Community
,Mumbai,,Cain Group,Bakery Go
,Mumbai,,Hahn-Gillespie,Bakery Seem
,Ahmedabad,,"Leach, Miller and Gonzalez",Bakery Rich
,Pune,,"Larson, Carson and Livingston",Florist Soldier
,Pune,,Barnett and Sons,Gym Sing
,Chennai,,Werner-Smith,Clothing Store Action
,Kolkata,,"Porter, Perez and Graves",Bookstore Movie
,Delhi,,Davis-Lucas,Clothing Store Situation
,Chennai,,Johnson and Sons,Florist Night
,Mumbai,,Castaneda-Mcclain,Clothing Store Service
,Bangalore,,Silva-Perez,Cafe Show
,Ahmedabad,,Cooper-Evans,Salon Move
,Hyderabad,,Rodriguez-Douglas,Salon Listen
,Hyderabad,,Murphy-Gonzalez,Restaurant Exactly
,Mumbai,,"Rodriguez, Santiago and Hopkins",Salon Police
,Ahmedabad,,Welch-Collier,Florist Main
,Bangalore,,Horton-Elliott,Bakery Ready
,Mumbai,,Thomas Group,Florist Control
,Hyderabad,,Johnson Inc,Restaurant Save
,Kolkata,,Richards-Wilson,Bakery Example
,Ahmedabad,,"Anderson, Gallagher and Marquez",Clothing Store Back
,Pune,,"Cook, Delgado and Welch",Cafe New
,Bangalore,,Mejia-Schwartz,Bakery Recently
,Pune,,"Mercer, Ward and Curtis",Clothing Store Serious
,Bangalore,,Newman PLC,Cafe Cultural
,Ahmedabad,,Park PLC,Salon Opportunity
,Ahmedabad,,"Lee, Welch and Watson",Gym Thing
,Kolkata,,"Sanders, Cohen and Wood",Bakery Similar
,Mumbai,,Duncan Group,Bakery Contain
,Chennai,,"Moss, Thomas and Bentley",Clothing Store Scene
,Kolkata,,Wong-Williams,Restaurant Certain
,Chennai,,Burns-Williams,Bookstore Girl
,Ahmedabad,,Gould PLC,Salon Simple
,Pune,,Cox and Sons,Florist Others
,Kolkata,,"Gibson, White and Webb",Salon Pull
,Bangalore,,Maynard-Anderson,Cafe High
,Bangalore,,"Wheeler, Gonzalez and Jones",Florist Others
,Mumbai,,"Brown, Brown and Li",Florist Board
,Kolkata,,"Hill, Brown and Evans",Cafe Exist
,Pune,,"Liu, Hudson and Clark",Restaurant Member
,Delhi,,"Hernandez, Moore and Montgomery",
,Chennai,,Smith-Young,Bakery Contain
,Chennai,,Macias LLC,Bookstore Social
,Pune,,Walters-Lee,Salon Police
,Delhi,,King-Miller,Cafe Organization
,Delhi,,Ortega-Moore,Bookstore Player
,Mumbai,,"Harris, Smith and Stafford",Restaurant Produce
,Hyderabad,,Davis Ltd,Clothing Store Not
,Pune,,"Walter, Griffin and Blair",Florist Brother
,Bangalore,,Gonzalez PLC,Restaurant Pass
,Chennai,,"Wright, Larsen and Nolan",Clothing Store Program
,Hyderabad,,"Lopez, Smith and Johnson",Bookstore Determine
,Chennai,,Kennedy-Maldonado,Bookstore It
,Pune,,Gutierrez PLC,Cafe Pick
,Hyderabad,,Rivera Inc,Bookstore Then
,Ahmedabad,,"Smith, Hinton and Owen",Restaurant Other
,Ahmedabad,,Cunningham Ltd,
,Chennai,,Johnston-Foster,Restaurant Education
,Pune,,"Williams, Mason and Bender",Bakery Why
,Bangalore,,Huffman-Gomez,Cafe Prove
,Delhi,,Petersen-Jones,Bakery Actually
,Mumbai,,Blake-Chapman,Restaurant Public
,Chennai,,"Parrish, Stanton and Spears",Florist Painting
,Ahmedabad,,"Kim, Morrow and Decker",Bakery Community
,Delhi,,"Murphy, Turner and Maldonado",Cafe Practice
,Kolkata,,"Campbell, Cook and Green",Cafe Front
,Chennai,,"Reed, Medina and Barrera",Cafe Benefit
,Pune,,Ochoa Ltd,
,Mumbai,,King LLC,Cafe Better
,Bangalore,,Mullins Group,Salon Collection
,Mumbai,,Duncan-Rice,Gym Game
,Pune,,Miller Ltd,Bakery Perhaps
,Delhi,,Cantu Ltd,Bakery Sound
,Hyderabad,,Johnson Inc,Bakery Newspaper
,Ahmedabad,,Donovan-Tanner,Cafe Interesting
,Mumbai,,"Perry, Sutton and Johnson",Gym Game
,Pune,,Wilson-Jenkins,Salon Pull
,Bangalore,,Lee-James,Gym Education
,Mumbai,,Burke Group,Restaurant Boy
,Chennai,,Ayers-Davis,Gym Look
,Bangalore,,Peck-White,Bookstore Blood
,Chennai,,Key-Taylor,Cafe Lot
,Kolkata,,"Schmitt, Moody and Mendoza",Restaurant Education
,Mumbai,,Flores Ltd,Bookstore Few
,Hyderabad,,"Huffman, Cantrell and Turner",Bookstore Very
,Bangalore,,Young PLC,Cafe Foreign
,Chennai,,Garcia-Myers,Florist Medical
,Pune,,Butler and Sons,Bakery Both
,Hyderabad,,"Johnson, Johnson and Reyes",Clothing Store Guy
,Ahmedabad,,Compton Inc,Bookstore Detail
,Ahmedabad,,Farley-Camacho,Restaurant Produce
,Kolkata,,Yates PLC,Gym Response
,Bangalore,,"Walters, Lin and Wood",
,Kolkata,,"Diaz, Collins and Espinoza",
,Pune,,James-Johnson,Gym Maybe
,Chennai,,"Matthews, White and Ward",Cafe State
,Chennai,,Brown Ltd,Restaurant Example
,Delhi,,Hanson-Carter,Cafe Short
,Ahmedabad,,"Bright, Ramirez and Cline",Salon World
,Mumbai,,"George, Watson and Gomez",Restaurant Standard
,Chennai,,"Reed, Powell and Jimenez",Florist Parent
,Delhi,,Moore-Johnson,Restaurant Someone
,Kolkata,,"Pena, Johnson and Schwartz",Clothing Store Whether
,Ahmedabad,,Dickerson-Morris,Cafe Environmental
,Chennai,,Knight-Hunt,Bookstore Mrs
,Hyderabad,,"Christensen, Oliver and Gilmore",Clothing Store Not
,Bangalore,,Nash-Duncan,Restaurant Suddenly
,Bangalore,,"Wells, Rowe and Thompson",
,Pune,,Henderson-Johnson,Salon Sign
,Ahmedabad,,Mcbride-Everett,Bookstore Degree
,Ahmedabad,,Hartman Inc,Gym From
,Chennai,,"Wood, Ali and Reyes",Cafe Better
,Bangalore,,"Sullivan, Scott and Logan",Bookstore Movie
,Bangalore,,"Mendoza, Cobb and Davis",Gym Mother
,Pune,,Beck LLC,Salon Move
,Bangalore,,Mitchell-Glass,Clothing Store Official
,Kolkata,,Huynh LLC,Restaurant Through
,Kolkata,,"Stewart, Jones and Scott",Gym From
,Ahmedabad,,Ward-Stephens,Salon Real
,Ahmedabad,,Huynh-Gray,Bakery Ready
,Kolkata,,"Erickson, Osborn and Holloway",Salon Loss
,Chennai,,Greene-Jordan,Gym Threat
,Hyderabad,,"Garrett, Chandler and Johnson",Gym Yes
,Delhi,,"Jones, Nielsen and Hoover",Florist Board
,Delhi,,Wood Inc,Restaurant Save
,Ahmedabad,,Brooks Ltd,Bookstore Tell
,Ahmedabad,,"Smith, Hudson and Price",Cafe Environmental
,Chennai,,Young-Wong,Bakery Simply
,Pune,,"Davis, Cardenas and Jordan",
,Chennai,,Martinez-Wright,Gym Game
,Pune,,Mcguire-Valenzuela,Salon Author
,Mumbai,,Glenn-Hopkins,Bookstore Month
,Bangalore,,Nichols-Myers,Restaurant Cause
,Kolkata,,"Rice, Rhodes and White",Clothing Store Son
,Chennai,,"Curry, Mathews and Crane",Clothing Store Alone
,Kolkata,,Gilmore-Johnson,Restaurant Magazine
,Kolkata,,Mcbride Group,Florist Trade
,Bangalore,,"Moss, Cox and Sharp",Gym Game
,Delhi,,Dennis-Mayer,Cafe Continue
,Bangalore,,Morton-Miller,Florist Above
,Chennai,,Patrick-Moran,Clothing Store Power
,Mumbai,,Allen-Wright,Bookstore Detail
,Hyderabad,,Perez-Hayes,Cafe Interesting
,Pune,,Franklin Ltd,Cafe Her
,Bangalore,,Johnson-Reese,Bookstore Personal
,Hyderabad,,Hansen LLC,Restaurant Standard
,Mumbai,,Baker-Flores,Restaurant Risk
,Delhi,,"Miller, Glass and Howard",Cafe Interesting
,Delhi,,Johnson PLC,Bookstore Blood
,Kolkata,,Brown-Harris,Cafe Song
,Chennai,,Moore-Hess,Restaurant Reveal
,Chennai,,"Baker, Swanson and Collier",Gym Thing
,Delhi,,Gross PLC,Salon Wide
,Chennai,,"Atkins, Johnson and Jacobs",Bookstore Arm
,Hyderabad,,"King, Martin and Wright",Clothing Store Wide
,Bangalore,,"Cain, Campbell and Terrell",Florist Several
,Mumbai,,"Marsh, Rubio and Hampton",Gym Senior
,Chennai,,Kim-Owens,Salon Decade
,Pune,,Ruiz Inc,Salon Important
,Bangalore,,Mann Group,Bakery Add
,Bangalore,,"Cooper, Buckley and Murray",Restaurant Someone
,Pune,,Casey and Sons,Clothing Store Power
,Kolkata,,"Henderson, Hines and Nicholson",Bookstore Feeling
,Ahmedabad,,Freeman-Lee,Gym Choice
,Mumbai,,"Schroeder, Wallace and Sanchez",Bookstore Increase
,Kolkata,,Hicks Group,Cafe Majority
,Hyderabad,,Carter-Burton,Bookstore She
,Pune,,"Jimenez, Pitts and Henderson",Florist State
,Delhi,,"Jackson, Chavez and Patrick",Bookstore Sense
,Kolkata,,"Cruz, Morris and Owens",Bakery Both
,Bangalore,,Lang-Best,Clothing Store Stage
,Kolkata,,York-Pruitt,Restaurant Education
,Mumbai,,Whitaker PLC,Bakery Benefit
,Hyderabad,,"Morris, Barrett and Dixon",Salon Loss
,Pune,,Moore-Schmidt,Gym Direction
,Delhi,,Galvan PLC,Florist Claim
,Pune,,"Lopez, Mcconnell and Ruiz",Restaurant Process
,Delhi,,Kline Inc,Restaurant Produce
,Pune,,"Wright, Tucker and Ross",Clothing Store Alone
,Mumbai,,Duffy Inc,Bakery Always
,Ahmedabad,,Hudson LLC,Salon Majority
,Hyderabad,,Hurley and Sons,Florist Letter
,Hyderabad,,"Smith, Williams and Graham",Bakery Would
,Pune,,Jones-Harper,Bookstore Order
,Chennai,,"Young, Baker and Rodriguez",Clothing Store Whether
,Pune,,Reyes-Arroyo,Bookstore Occur
,Chennai,,Hernandez-York,Bakery Both
,Delhi,,"Williams, Santos and Mitchell",Salon Pattern
,Kolkata,,Irwin Group,Salon Your
,Delhi,,Estes Group,Gym Hear
,Chennai,,Walker Inc,Florist Tell
,Ahmedabad,,Chan-Alexander,Gym Senior
,Chennai,,"Faulkner, Marshall and Bass",Restaurant Myself
,Kolkata,,Weaver-Morris,Salon Situation
,Bangalore,,"Cross, Hughes and Hood",Bookstore Arm
,Hyderabad,,"Bell, Taylor and Lewis",Bookstore Choice
,Chennai,,"Gordon, Wright and Cole",Salon Through
,Mumbai,,"Watson, Hamilton and Hill",Bakery Always
,Delhi,,"Reynolds, Adams and Ward",Gym Thing
,Bangalore,,"Woods, Peters and Christian",Bookstore Ready
,Kolkata,,Austin PLC,Bookstore Draw
,Hyderabad,,Chavez Group,Cafe Country
,Hyderabad,,"Rogers, Figueroa and Clark",Florist Several
,Hyderabad,,Preston-Weaver,Bakery Give
,Chennai,,"Lee, Donovan and Ewing",Bookstore Choice
,Hyderabad,,"Duncan, Gates and Garcia",Clothing Store Control
,Kolkata,,Cowan Ltd,Bakery Its
,Hyderabad,,Stanley-Dixon,Restaurant Wide
,Kolkata,,Jones-Cole,Bookstore Tell
,Ahmedabad,,Cole-Hubbard,Gym Sing
,Ahmedabad,,"Phillips, Weiss and Atkins",Salon Before
,Hyderabad,,Rivera-Scott,Florist End
,Delhi,,"Bryant, Camacho and Bailey",Clothing Store Clear
,Delhi,,Hoffman LLC,Cafe However
,Ahmedabad,,Moreno and Sons,Bookstore Quality
,Pune,,Richardson PLC,Gym Decade
,Delhi,,Larson Group,Cafe Challenge
,Ahmedabad,,"Ewing, Charles and Montgomery",Bakery Ok
,Mumbai,,Bridges-Cook,Clothing Store History
,Hyderabad,,Hendrix-Garcia,Bookstore Get
,Pune,,Brown LLC,Gym Response
,Delhi,,Marquez-Burns,Bakery Exist
,Chennai,,Church PLC,Bookstore Television
,Chennai,,"Kirk, Dawson and Hughes",Bakery Maintain
,Hyderabad,,Nichols-Mason,Salon Police
,Chennai,,"Martin, Barry and Stone",Cafe Program
,Delhi,,"Holmes, Chang and Sullivan",Cafe These
,Ahmedabad,,"Jackson, Hardy and Jones",Bookstore Parent
,Kolkata,,"Freeman, Holmes and Pierce",Salon Something
,Chennai,,Zimmerman Inc,Gym Season
,Mumbai,,Roth-Hurley,Salon Financial
,Hyderabad,,"Stevens, Miller and Morton",Bakery Ready
,Bangalore,,"Trevino, Jones and Rivera",Bookstore Occur
,Hyderabad,,"Burns, Caldwell and Lewis",Bakery Seem
,Mumbai,,Gray-Walters,Gym Sing
,Delhi,,"Cooper, Williams and Davis",Clothing Store While
,Pune,,Williams-Hunter,Cafe Fire
,Hyderabad,,"Gonzales, Taylor and Campbell",Bakery Serve
,Mumbai,,"Juarez, Williams and Jenkins",Gym Direction
,Hyderabad,,"Blair, Richardson and Hobbs",Bookstore Get
,Bangalore,,Cooper-Ferguson,Florist Focus
,Bangalore,,"Flores, Foster and Baxter",Bookstore Sense
,Mumbai,,Leon and Sons,Cafe Sense
,Hyderabad,,"Vargas, Berry and Fuller",Bookstore Television
,Hyderabad,,Mcfarland PLC,Clothing Store Reduce
,Chennai,,Escobar-Moss,Salon Majority
,Delhi,,"Cook, Meyer and Lawrence",Cafe Country
,Delhi,,Singleton-Salinas,Cafe Show
,Hyderabad,,Jones Ltd,Bookstore Player
,Hyderabad,,Smith Inc,Florist Claim
,Bangalore,,Hunt and Sons,Restaurant Through
,Kolkata,,Ellis Inc,Restaurant Know
,Mumbai,,Dixon PLC,Florist Middle
,Delhi,,Lam Inc,Salon Whatever
,Delhi,,Meadows-Porter,Clothing Store Mrs
,Hyderabad,,Ford Ltd,Salon Pattern
,Ahmedabad,,Montgomery Group,Bakery To
